Lat,Lon,Mcc,Mnc,Lac,Cellid,Range,Nbsamples,Createdat,Updatedat,Needscomputation,Country,Operator,,
24.74422263,46.65542873,420,4,21001,6652692,0,"<ahref=""/mesure/map/926600"">1</a>",MonSep2611:54:16+02002011,MonSep2611:54:16+02002011,TRUE,SaudiArabia,none,"<ahref=""/cell/show/926600"">Show</a>","<ahref=""/cell/map/926600"">Map</a>"
24.74006413,46.646129,420,4,21001,6649501,0,"<ahref=""/mesure/map/926599"">1</a>",MonSep2611:54:15+02002011,MonSep2611:54:15+02002011,TRUE,SaudiArabia,none,"<ahref=""/cell/show/926599"">Show</a>","<ahref=""/cell/map/926599"">Map</a>"
21.460023,39.242187,420,3,2148,7005159,6000,"<ahref=""/mesure/map/925211"">1</a>",SunSep2519:35:32+02002011,MonApr0207:59:19+02002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/925211"">Show</a>","<ahref=""/cell/map/925211"">Map</a>"
21.460177,39.241761,420,3,2148,6967188,6000,"<ahref=""/mesure/map/925208"">2</a>",SunSep2519:34:23+02002011,SatMar1707:03:24+01002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/925208"">Show</a>","<ahref=""/cell/map/925208"">Map</a>"
19.552446,41.275154,420,3,4038,48893,0,"<ahref=""/mesure/map/911942"">1</a>",TueSep2011:12:04+02002011,TueSep2011:12:04+02002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/911942"">Show</a>","<ahref=""/cell/map/911942"">Map</a>"
19.552515,41.275474,420,3,4038,48891,0,"<ahref=""/mesure/map/911941"">1</a>",TueSep2011:08:46+02002011,TueSep2011:08:46+02002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/911941"">Show</a>","<ahref=""/cell/map/911941"">Map</a>"
20.009319,41.459145,420,3,2137,6929932,6000,"<ahref=""/mesure/map/901301"">17</a>",WedSep1420:58:17+02002011,TueSep2020:24:03+02002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/901301"">Show</a>","<ahref=""/cell/map/901301"">Map</a>"
26.38749144,50.02939596,420,3,3806,31041,6000,"<ahref=""/mesure/map/900921"">1</a>",WedSep1417:21:17+02002011,SatOct2906:58:23+02002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/900921"">Show</a>","<ahref=""/cell/map/900921"">Map</a>"
26.38748934,50.02940344,420,3,3806,31044,6000,"<ahref=""/mesure/map/900918"">4</a>",WedSep1417:17:47+02002011,WedSep1417:34:14+02002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/900918"">Show</a>","<ahref=""/cell/map/900918"">Map</a>"
26.38755549,50.02935865,420,3,3334,27061,6000,"<ahref=""/mesure/map/900916"">11</a>",WedSep1417:15:07+02002011,WedOct0516:24:16+02002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/900916"">Show</a>","<ahref=""/cell/map/900916"">Map</a>"
25.166319,37.263626,420,3,4433,43563,0,"<ahref=""/mesure/map/869754"">1</a>",WedAug3111:45:41+02002011,WedAug3111:45:41+02002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/869754"">Show</a>","<ahref=""/cell/map/869754"">Map</a>"
24.749964,46.690338,420,1,3351,6921538,6000,"<ahref=""/mesure/map/823256"">1</a>",MonAug1503:34:15+02002011,SatFeb2507:35:39+01002012,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/823256"">Show</a>","<ahref=""/cell/map/823256"">Map</a>"
24.749993,46.69036,420,1,3351,6881477,6000,"<ahref=""/mesure/map/823252"">2</a>",MonAug1503:31:46+02002011,MonAug1503:32:46+02002011,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/823252"">Show</a>","<ahref=""/cell/map/823252"">Map</a>"
24.75505969,46.57230006,420,3,1332,665797,6000,"<ahref=""/mesure/map/820062"">16</a>",ThuAug1120:09:54+02002011,SatDec1021:47:18+01002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/820062"">Show</a>","<ahref=""/cell/map/820062"">Map</a>"
16.6242565,42.967166,420,1,5221,13544067,6000,"<ahref=""/mesure/map/809448"">2</a>",MonAug0106:04:49+02002011,MonAug0802:30:02+02002011,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/809448"">Show</a>","<ahref=""/cell/map/809448"">Map</a>"
26.29368763,50.15054225,420,1,2261,26616440,6000,"<ahref=""/mesure/map/806904"">8</a>",FriJul2908:55:26+02002011,FriJul2921:10:35+02002011,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/806904"">Show</a>","<ahref=""/cell/map/806904"">Map</a>"
21.34787148,39.89681605,420,1,7121,13414317,0,"<ahref=""/mesure/map/793285"">3</a>",WedJul1321:27:16+02002011,WedJul1321:27:22+02002011,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/793285"">Show</a>","<ahref=""/cell/map/793285"">Map</a>"
21.34785935,39.89679943,420,1,7121,13414316,0,"<ahref=""/mesure/map/793284"">3</a>",WedJul1321:27:04+02002011,WedJul1321:27:20+02002011,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/793284"">Show</a>","<ahref=""/cell/map/793284"">Map</a>"
21.34787291,39.89691496,420,1,7121,13374322,0,"<ahref=""/mesure/map/793283"">26</a>",WedJul1321:27:02+02002011,WedJul1321:27:24+02002011,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/793283"">Show</a>","<ahref=""/cell/map/793283"">Map</a>"
24,39,420,1,6131,13701211,6000,"<ahref=""/mesure/map/773494"">1</a>",FriJun0323:38:01+02002011,FriJun0323:40:11+02002011,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/773494"">Show</a>","<ahref=""/cell/map/773494"">Map</a>"
24.530389,46.695837,420,1,321,15625,0,"<ahref=""/mesure/map/772837"">1</a>",WedJun0118:20:15+02002011,WedJun0118:20:15+02002011,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/772837"">Show</a>","<ahref=""/cell/map/772837"">Map</a>"
24.530389,46.695837,420,1,321,15628,0,"<ahref=""/mesure/map/772835"">1</a>",WedJun0118:20:01+02002011,WedJun0118:20:01+02002011,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/772835"">Show</a>","<ahref=""/cell/map/772835"">Map</a>"
